,XGBoost_Forecast
2025-05-30 06:00:00,775.034
2025-05-30 07:00:00,779.8181
2025-05-30 08:00:00,782.2043
2025-05-30 09:00:00,782.03674
2025-05-30 10:00:00,780.825
2025-05-30 11:00:00,780.69226
2025-05-30 12:00:00,779.3345
2025-05-30 13:00:00,779.2721
2025-05-30 14:00:00,779.2721
2025-05-30 15:00:00,779.2721
2025-05-30 16:00:00,782.4375
2025-05-30 17:00:00,785.2715
2025-05-30 18:00:00,797.0897
2025-05-30 19:00:00,802.7832
2025-05-30 20:00:00,813.8961
2025-05-30 21:00:00,805.04175
2025-05-30 22:00:00,802.44885
2025-05-30 23:00:00,798.90015
2025-05-31 00:00:00,792.6288
2025-05-31 01:00:00,782.739
2025-05-31 02:00:00,775.8348
2025-05-31 03:00:00,771.2366
2025-05-31 04:00:00,767.2885
2025-05-31 05:00:00,766.5056
2025-05-31 06:00:00,768.62366
2025-05-31 07:00:00,775.24023
2025-05-31 08:00:00,777.5778
2025-05-31 09:00:00,777.4103
2025-05-31 10:00:00,776.13947
2025-05-31 11:00:00,776.0067
2025-05-31 12:00:00,774.6489
2025-05-31 13:00:00,774.58655
2025-05-31 14:00:00,774.58655
2025-05-31 15:00:00,774.58655
2025-05-31 16:00:00,777.78937
2025-05-31 17:00:00,780.62335
2025-05-31 18:00:00,794.6033
2025-05-31 19:00:00,802.7832
2025-05-31 20:00:00,814.5294
2025-05-31 21:00:00,804.5398
2025-05-31 22:00:00,802.44885
2025-05-31 23:00:00,799.3292
2025-06-01 00:00:00,795.0641
2025-06-01 01:00:00,790.03406
2025-06-01 02:00:00,783.55255
2025-06-01 03:00:00,781.3107
2025-06-01 04:00:00,777.6381
2025-06-01 05:00:00,777.5043
2025-06-01 06:00:00,779.6223
2025-06-01 07:00:00,784.455
2025-06-01 08:00:00,786.3541
2025-06-01 09:00:00,786.1866
2025-06-01 10:00:00,785.10315
2025-06-01 11:00:00,784.9704
2025-06-01 12:00:00,783.7857
2025-06-01 13:00:00,783.7233
2025-06-01 14:00:00,783.7233
2025-06-01 15:00:00,783.7233
2025-06-01 16:00:00,786.7067
2025-06-01 17:00:00,789.5407
2025-06-01 18:00:00,798.73157
2025-06-01 19:00:00,806.9504
2025-06-01 20:00:00,813.384
2025-06-01 21:00:00,810.603
2025-06-01 22:00:00,808.52625
2025-06-01 23:00:00,805.638
2025-06-02 00:00:00,802.1216
2025-06-02 01:00:00,803.39014
2025-06-02 02:00:00,802.7644
2025-06-02 03:00:00,802.93207
2025-06-02 04:00:00,803.5619
2025-06-02 05:00:00,806.2222
2025-06-02 06:00:00,808.2433
